name,Category,Prize_Classification
Elias James Corey,Chemistry,Lower
Harry M. Markowitz,Economic Sciences,Lower
Merton H. Miller,Economic Sciences,Lower
William F. Sharpe,Economic Sciences,Lower
Octavio Paz,Literature,Lower
Mikhail Sergeyevich Gorbachev,Peace,Lower
Jerome I. Friedman,Physics,Lower
Henry W. Kendall,Physics,Lower
Richard E. Taylor,Physics,Lower
Joseph E. Murray,Physiology or Medicine,Lower
E. Donnall Thomas,Physiology or Medicine,Lower
Richard R. Ernst,Chemistry,Lower
Ronald H. Coase,Economic Sciences,Lower
Nadine Gordimer,Literature,Lower
Aung San Suu Kyi,Peace,Lower
Pierre-Gilles de Gennes,Physics,Lower
Erwin Neher,Physiology or Medicine,Lower
Bert Sakmann,Physiology or Medicine,Lower
Rudolph A. Marcus,Chemistry,Lower
Gary S. Becker,Economic Sciences,Higher
Derek Walcott,Literature,Lower
Rigoberta Menchú Tum,Peace,Lower
Georges Charpak,Physics,Lower
Edmond H. Fischer,Physiology or Medicine,Lower
Edwin G. Krebs,Physiology or Medicine,Lower
Kary B. Mullis,Chemistry,Lower
Michael Smith,Chemistry,Lower
Robert W. Fogel,Economic Sciences,Lower
Douglass C. North,Economic Sciences,Lower
Toni Morrison,Literature,Lower
Nelson Rolihlahla Mandela,Peace,Lower
Frederik Willem de Klerk,Peace,Lower
Russell A. Hulse,Physics,Lower
Joseph H. Taylor Jr.,Physics,Lower
Richard J. Roberts,Physiology or Medicine,Lower
Phillip A. Sharp,Physiology or Medicine,Lower
George A. Olah,Chemistry,Lower
John C. Harsanyi,Economic Sciences,Higher
John F. Nash Jr.,Economic Sciences,Higher
Reinhard Selten,Economic Sciences,Higher
Kenzaburo Oe,Literature,Lower
Yasser Arafat,Peace,Lower
Shimon Peres,Peace,Lower
Yitzhak Rabin,Peace,Lower
Bertram N. Brockhouse,Physics,Lower
Clifford G. Shull,Physics,Lower
Alfred G. Gilman,Physiology or Medicine,Lower
Martin Rodbell,Physiology or Medicine,Lower
Paul J. Crutzen,Chemistry,Lower
Mario J. Molina,Chemistry,Lower
F. Sherwood Rowland,Chemistry,Lower
Robert E. Lucas Jr.,Economic Sciences,Higher
Seamus Heaney,Literature,Higher
Joseph Rotblat,Peace,Lower
Pugwash Conferences on Science and World Affairs,Peace,Lower
Martin L. Perl,Physics,Lower
Frederick Reines,Physics,Lower
Edward B. Lewis,Physiology or Medicine,Lower
Christiane Nüsslein-Volhard,Physiology or Medicine,Lower
Eric F. Wieschaus,Physiology or Medicine,Lower
Robert F. Curl Jr.,Chemistry,Lower
Sir Harold W. Kroto,Chemistry,Lower
Richard E. Smalley,Chemistry,Lower
James A. Mirrlees,Economic Sciences,Higher
William Vickrey,Economic Sciences,Higher
Wislawa Szymborska,Literature,Higher
Carlos Filipe Ximenes Belo,Peace,Higher
José Ramos-Horta,Peace,Higher
David M. Lee,Physics,Higher
Douglas D. Osheroff,Physics,Higher
Robert C. Richardson,Physics,Higher
Peter C. Doherty,Physiology or Medicine,Higher
Rolf M. Zinkernagel,Physiology or Medicine,Higher
Paul D. Boyer,Chemistry,Higher
John E. Walker,Chemistry,Higher
Jens C. Skou,Chemistry,Higher
Robert C. Merton,Economic Sciences,Higher
Myron S. Scholes,Economic Sciences,Higher
Dario Fo,Literature,Higher
International Campaign to Ban Landmines,Peace,Higher
Jody Williams,Peace,Higher
Steven Chu,Physics,Higher
Claude Cohen-Tannoudji,Physics,Higher
William D. Phillips,Physics,Higher
Stanley B. Prusiner,Physiology or Medicine,Higher
Walter Kohn,Chemistry,Higher
John A. Pople,Chemistry,Higher
Amartya Sen,Economic Sciences,Higher
José Saramago,Literature,Higher
John Hume,Peace,Higher
David Trimble,Peace,Higher
Robert B. Laughlin,Physics,Higher
Horst L. Störmer,Physics,Higher
Daniel C. Tsui,Physics,Higher
Robert F. Furchgott,Physiology or Medicine,Higher
Louis J. Ignarro,Physiology or Medicine,Higher
Ferid Murad,Physiology or Medicine,Higher
Ahmed H. Zewail,Chemistry,Higher
Robert A. Mundell,Economic Sciences,Higher
Günter Grass,Literature,Higher
Doctors Without Borders,Peace,Higher
Gerardus 't Hooft,Physics,Higher
Martinus J.G. Veltman,Physics,Higher
Günter Blobel,Physiology or Medicine,Higher
Alan J. Heeger,Chemistry,Higher
Alan G. MacDiarmid,Chemistry,Higher
Hideki Shirakawa,Chemistry,Higher
James J. Heckman,Economic Sciences,Higher
Daniel L. McFadden,Economic Sciences,Higher
Gao Xingjian,Literature,Higher
Kim Dae-jung,Peace,Higher
Zhores I. Alferov,Physics,Higher
Herbert Kroemer,Physics,Higher
Jack S. Kilby,Physics,Higher
Arvid Carlsson,Physiology or Medicine,Higher
Paul Greengard,Physiology or Medicine,Higher
Eric R. Kandel,Physiology or Medicine,Higher
